"FAOST_CODE","ADESA","DFPLI.IN.NO","DFPLIV.IN.NO","EN.POP.DNST","FB.FS.CRLS.KCD.NO","FB.PSQ.AO.GCD.NO","FB.PSQ.GT.GCD.NO","IS.ROD.DNST.K2","IS.RRS.DNST.K2","NY.GDP.MKTP.CD","PCFPV.IN.NO","POPULATION","POU","QV.NPV.FOOD.ID.NO","RL.AREA.EQIRR.HA.SHL","SFEP.NO","SH.H2O.SAFE.ZS","SH.STA.ACSN","SH.STA.MALN.ZS","SH.STA.STNT.ZS","SH.STA.WAST.ZS","SI.POV.DDAY","SI.POV.GINI","SI.POV.NAHC","SI.POV.RUHC","SP.RUR.TOTL.ZS","TI.IV.FEFTMT.USD.NO","Year","FAO_TABLE_NAME","UNSD_MACRO_REG","UNSD_SUB_REG","BY.GDP.MKTP.PCAP"
29,0.474807062691288,0.0283103836821676,0.0126931477370605,0.121253962128765,0.0149132006445149,0.329621681138647,0.0120952788222698,0.0278107871848695,5.64223814669817e-05,0.0615678401794597,0.00532936915825169,0.80463191680279,0.00374795948648792,0.0226184151775915,0.796069657842645,0.721746651818749,0.460000740919076,0.540811977476975,0.831537696730534,0.289370135293561,0.936003824670264,0.492384629760481,0.732812394648815,0.552584846705782,0.9865009216926,0.0506638790913391,0.995522388059702,2001,"Burundi","Africa","Eastern Africa",0.402187916723027
29,0.471693639717318,0.030746328485337,0.0130287933529466,0.121863917373571,0.0148169941154744,0.323781622244417,0.0121074898703054,0.0243922377554544,5.80545074809673e-05,0.0582086393786079,0.0054440001263555,0.819969291028298,0.00378327744746198,0.023081794674318,0.774072435139354,0.724057553332423,0.464002587110628,0.592701792635777,0.85086457617161,0.315419928309554,0.93419733173579,0.485157505158001,0.729340282943647,0.553612144373134,0.984101020218113,0.0581803364458015,0.996019900497512,2002,"Burundi","Africa","Eastern Africa",0.402788885278318
29,0.467835955556753,0.0361793219252199,0.0134280311727794,0.122046039943644,0.0148157119232291,0.319326512717419,0.0121280670096538,0.0201101780192962,6.10079246966521e-05,0.061089881067031,0.00558574462076346,0.836973603177361,0.00383422288359952,0.0234130734356401,0.734780093326841,0.726331211482242,0.467997019625533,0.624769040712779,0.853798408267643,0.339995518264132,0.925037378369141,0.471921497734408,0.698553099130304,0.530625665274875,0.981657896522061,0.0700283722836336,0.996517412935323,2003,"Burundi","Africa","Eastern Africa",0.404775536603304
29,0.464943243043835,0.0423415867657104,0.0138701637300864,0.122615482754688,0.0149278103318806,0.31599267054961,0.0122027939728909,0.0167306989511335,6.53867560632536e-05,0.0639940148060058,0.00574413390334711,0.853278030224578,0.0038925865691085,0.0236724268168674,0.692270401107478,0.72858289644314,0.471992689224957,0.639375275935663,0.848578903397093,0.357349011789465,0.909878115951925,0.460295628739041,0.65795861712048,0.501426294032251,0.979164643793075,0.0827426122463565,0.997014925373134,2004,"Burundi","Africa","Eastern Africa",0.408210517835761
29,0.46698882716938,0.0432583964308407,0.0148805466163554,0.122643453548143,0.0148404816391768,0.314258590881499,0.0128247605656664,0.0161221672127322,7.19413957028459e-05,0.0568027781359071,0.00591323397038869,0.868093661404698,0.00397759361021123,0.0238591921247021,0.66666779211474,0.729018108554954,0.475961699241861,0.628927153803212,0.846272467787682,0.349055581633473,0.894159661750065,0.463002160731079,0.632329314610369,0.485378671703887,0.978372240950935,0.0877279299716365,0.997512437810945,2005,"Burundi","Africa","Eastern Africa",0.413735647250832
29,0.471172393665206,0.0419606224480982,0.0163114781467224,0.122914780421642,0.0148158444196443,0.313542103163849,0.0137676732472269,0.0164127867039978,8.08527667947995e-05,0.0475163597340065,0.00609866601106866,0.882253850363569,0.00407721191826651,0.024011128869663,0.645832022600417,0.729034647034788,0.479624304902229,0.601181306574872,0.840419235425351,0.328831154438332,0.874165500683126,0.471377617626895,0.605366542140845,0.469244391730019,0.978511595846893,0.0886380780208958,0.998009950248756,2006,"Burundi","Africa","Eastern Africa",0.420870714153297
29,0.472431147462643,0.0400299935210189,0.0167987456299952,0.128302661873873,0.0157851245435191,0.312290876878621,0.0140601507507397,0.0162252971001222,9.12618350882239e-05,0.0405846395455116,0.00627972684089382,0.890951056949238,0.00411141515123811,0.0243747225420326,0.635915783367052,0.733434277029343,0.482627501808048,0.575423804279048,0.82463444906492,0.316510848206099,0.839727183661838,0.476900399183048,0.582149177989094,0.460658242411248,0.975704201729939,0.0859197417138263,0.998507462686567,2007,"Burundi","Africa","Eastern Africa",0.428499637964973
29,0.470479787094021,0.0373489226282614,0.0163355248534993,0.139704722614164,0.0180354046585472,0.310367781543197,0.0136958938859309,0.0156323458774003,0.000103410236275469,0.0352167805565934,0.00645481651844555,0.894311174732676,0.00407321528492317,0.0250232767502484,0.638154873423803,0.742602349637386,0.484545735394684,0.554430091098836,0.799671705310399,0.312990147332374,0.78699295825336,0.479415089465002,0.563278821348389,0.459794628900996,0.969982507135942,0.0797781841421582,0.999004975124378,2008,"Burundi","Africa","Eastern Africa",0.436595758949903
29,0.467272115094524,0.0340983897950468,0.0150915438909669,0.156196381067905,0.021493127733871,0.308641830268779,0.0128621057782743,0.0148498410542443,0.000118415612460211,0.030612803726844,0.00663104241267561,0.893836982871554,0.00399552541180465,0.0257410123583666,0.649298528540621,0.753822952344235,0.486579123139399,0.52770838746524,0.765629744075818,0.309165138698981,0.714410133527099,0.481818752941782,0.548711860406381,0.46563497913898,0.961217174769521,0.0712363069616266,0.999502487562189,2009,"Burundi","Africa","Eastern Africa",0.445613038342188
29,0.462431654589569,0.0308551695537777,0.0129244324406053,0.179763440743662,0.0267570136614153,0.307169964099785,0.0114465939601313,0.0136253382471621,0.000136836675106415,0.027106782397233,0.00680554358431224,0.888777648194642,0.00387626183889299,0.0264526895347071,0.668917413961662,0.766754812573768,0.489461209133658,0.494945484348045,0.720435644736552,0.30528818970234,0.617570788917497,0.483195939752633,0.540211640741503,0.480136390565501,0.947367994598943,0.0614777258536676,1,2010,"Burundi","Africa","Eastern Africa",0.455465153516796
